,0
0,0
1,0
2,0
3,1
4,0
5,1
6,1
7,1
8,0
9,0
10,0
11,1
12,0
13,1
14,0
15,1
16,1
17,1
18,0
19,1
20,1
21,1
22,1
23,1
24,0
25,1
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,0
34,0
35,1
36,0
37,1
38,0
39,0
40,1
41,0
42,0
43,0
44,0
45,1
46,0
47,1
48,1
49,0
50,1
51,1
52,0
53,0
54,1
55,0
56,0
57,1
58,0
59,1
60,1
61,1
62,0
63,1
64,1
65,1
66,0
67,0
68,0
69,0
70,1
71,1
72,0
73,1
74,1
75,1
76,0
77,1
78,0
79,0
80,0
81,0
82,0
83,1
84,1
85,1
86,0
87,1
88,0
89,0
90,0
91,0
92,1
93,0
94,1
95,1
96,1
97,0
98,1
99,1
100,1
101,1
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,1
112,1
113,1
114,1
115,1
116,0
117,0
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,0
128,0
129,1
130,1
131,0
132,1
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,0
143,1
144,1
145,1
146,1
147,0
148,1
149,0
150,0
151,0
152,1
153,1
154,1
155,1
156,0
157,1
158,0
159,1
160,1
161,0
162,1
163,1
164,1
165,1
166,1
167,0
168,0
169,0
170,1
171,1
172,0
173,1
174,0
175,1
176,1
177,0
178,0
179,1
180,0
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,1
193,0
194,1
195,0
196,0
197,1
198,1
199,1
200,1
201,0
202,0
203,1
204,0
205,0
206,0
207,1
208,0
209,1
210,0
211,0
212,1
213,1
214,0
215,0
216,0
217,1
218,0
219,0
220,0
221,1
222,1
223,1
224,0
225,1
226,1
227,0
228,0
229,0
230,0
231,0
232,0
233,1
234,1
235,1
236,1
237,1
238,1
239,0
240,0
241,0
242,1
243,0
244,1
245,1
246,1
247,0
248,1
249,0
250,1
251,0
252,1
253,1
254,0
255,1
256,1
257,0
258,0
259,0
260,0
261,0
262,1
263,1
264,1
265,0
266,1
267,0
268,1
269,0
270,1
271,1
272,1
273,1
274,0
275,0
276,1
277,1
278,0
279,1
280,0
281,1
282,1
283,1
284,0
285,1
286,1
287,0
288,0
289,1
290,1
291,1
292,0
293,0
294,0
295,0
296,1
297,0
298,0
299,0
300,1
301,1
302,0
303,1
304,1
305,0
306,1
307,1
308,0
309,0
310,1
311,1
312,0
313,1
314,0
315,0
316,0
317,0
318,0
319,1
320,1
321,1
322,1
323,1
324,1
325,0
326,0
327,1
328,1
329,1
330,1
331,1
332,0
333,0
334,1
335,1
336,0
337,0
338,0
339,0
340,0
341,1
342,1
343,1
344,0
345,1
346,0
347,0
348,1
349,1
350,0
351,0
352,0
353,1
354,1
355,0
356,1
357,1
358,1
359,0
360,1
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,1
369,0
370,0
371,0
372,1
373,1
374,1
375,1
376,0
377,1
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,1
388,1
389,0
390,0
391,1
392,1
393,1
394,0
395,0
396,0
397,0
398,1
399,0
400,0
401,1
402,0
403,1
404,0
405,0
406,0
407,0
408,0
409,1
410,1
411,1
412,1
413,1
414,0
415,1
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,0
424,1
425,0
426,1
427,0
428,0
429,0
430,1
431,1
432,1
433,0
434,0
435,0
436,1
437,0
438,1
439,1
440,0
441,1
442,0
443,0
444,0
445,0
446,0
447,0
448,1
449,0
450,0
451,1
452,1
453,1
454,0
455,0
456,0
457,0
458,1
459,1
460,1
461,1
462,1
463,0
464,1
465,0
466,0
467,0
468,0
469,0
470,1
471,1
472,0
473,1
474,0
475,0
476,1
477,1
478,1
479,1
480,1
481,0
482,1
483,1
484,1
485,1
486,1
487,1
488,0
489,1
490,1
491,1
492,0
493,1
494,1
495,1
496,0
497,0
498,1
499,1
500,0
501,1
502,0
503,1
504,1
505,1
506,1
507,0
508,0
509,1
510,0
511,0
512,0
513,0
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,0
525,0
526,0
527,1
528,1
529,0
530,0
531,1
532,0
